Nr.,Land,Fluss,Einstieg,Ausstieg,Entfernung,Km,WW,WW Stufe,Info,Min,Max,Einheit,Teilnehmer
1,Ö,Gschnitzbach,unterhalb der Talstation,Trins,1,10,1 - 2,2,,1,1,cm,8
2,Ö,Inn,Landeck,Brücke ins Pitztal (Imsteschlucht),2,21,2+,2,,1,1,cm,8
3,D,Ammer,Ortsteil Wörth von Peißenberg,Au-Wehr bei Weilheim,3,12,1 - 2,2,,1,1,cm,8
4,D,Ammer,Parkplatz bei Oberammergau,Brücke bei Altenau,4,11,1 - 2,2,,1,1,cm,8
5,D,Weißach,Wegbrücke an der B307,Brücke Zufahrt Wallbergbahn,5,8,1 - 2,2,,1,1,cm,8
6,D,Ammer,Saulgrub,Brücke Rottenbuch,6,12,2 - 3,3,,1,1,cm,6
7,Ö,Inn,Brücke ins Pitztal (Imsterschlucht),Haiming,7,15,3,3,,1,1,cm,6
8,Sch,Inn - Schluchten,S-chanf Wehr,Brücke von Cinous-chel,8,5,2 - 3,3,,1,1,cm,6
9,Sch,Inn - Schluchten,Brücke Punta Nova,Ortsende Susch,9,13,2 - 3,3,,1,1,cm,6
10,Sch,Inn - Schluchten,Staumauer oberhalb Sur-En,Brücke bei Martina,10,14,2 - 3 (4),3,,1,1,cm,6
11,Ö,Isar,oberer Futterstadel,Scharnitz,11,9,2 - 3,3,,1,1,cm,6
12,Ö,Leutasch,Ende der Straße ? Salzbach,Brücke Unterweidach,12,8,3,3,,1,1,cm,6
13,Ö,Loisach,Ehrwald,Gschwandtsteg,13,14,3 (4),3,,1,1,cm,6
14,Ö,Rißbach,Neuner-Brücke,Parkplatz bei "Garagen",14,12,3 (4),3,,1,1,cm,6
15,Ö,Rosanna,Parkplatz St. Anton,Holzbrücke,15,10,3,3,,1,1,cm,6
16,Ö,Ruetzbach,Sägewerk Schaller,Fulpmes,16,14,2 - 3 (4),3,,1,1,cm,6
17,Ö,Trisanna,Brücke bei Ischgl (Fußballplatz),bei Lochau,17,10,2 - 3 ,3,,1,1,cm,6
18,Sch,Inn - Schluchten,Ortsende Susch,Ardez,18,5,3 - 4,4,,1,1,cm,4
19,Sch,Inn - Schluchten,Scoul bei Lawinengalerie,Kläranlage Scoul,19,6,3 - 4,4,,1,1,cm,4
20,D,Loisach,Gschwandtsteg,Garmisch,20,6,3 - 4,4,,1,1,cm,4
21,Ö,Pitzbach,Plangross,St. Leonhard,21,10,4,4,,1,1,cm,4
22,Ö,Rosanna,Holzbrücke,Wehr,22,10,3 - 4,4,,1,1,cm,4
23,Ö,Sanna,E-Werk 3km oberh. Pians,Brücke in Landeck,23,7,3 - 4,4,,1,1,cm,4
24,Ö,Trisanna,Brücke bei (Hinweisschild)Labebene,Beton Brücke in See (nach Seestufen),24,6,4,4,,1,1,cm,4
25,Ö,untere Ötz,Slalomstrecke in Ötz,Haiming,25,14,3 - 4,4,,1,1,cm,4
26,Ö,Walchen,Brücke Parkplatz B307,Stausee Sylvenstein,26,4,4 (5),4,,1,1,cm,4
27,Ö,Gschnitzbach,Trins,Autobahnbrücke bei Kapelle,27,5,4 - 5,5,,1,1,cm,4
28,Sch,Inn - Schlucht,Brücke von Cinous-chel,Brücke Punta Nova,28,5,4 - 5,5,,1,1,cm,4
29,Ö,Melachbach,Gries im Sellrain,Brücke bei Sellrain,29,6,4 - 5,5,,1,1,cm,4
30,Ö,Melachbach,nach Sellrain,Steinbruch oberhalb Kematen,30,8,4 - 5,5,,1,1,cm,4
31,Ö,mittlere Ötz,Brücke Längenfeld,Slalomstrecke in Ötz,31,13,5,5,,1,1,cm,4
32,Ö,obere Ötz,Ortsende von Sölden,,32,7,4 - 5,5,,1,1,cm,4
33,Ö,Pitzbach,St. Leonhard,Ritzenried,33,8,4 - 5,5,,1,1,cm,4
34,Ö,Pitzbach,Ritzenried,Brücke oberhalb Jerzens,34,5,5,5,,1,1,cm,4
35,Ö,Rißbach,Parkplatz bei "Garagen",Betonbrücke,35,1,5 -6,5,,1,1,cm,4
36,Ö,Ruetzbach,500m nachWasserfall  des Sulzaubach,5m hohes Schrägwehr,36,3,3 - 5,5,,1,1,cm,4
37,Ö,Taschachbach,am Gletscher,Stausee,37,4,5,5,,1,1,cm,4
38,Ö,Valserbach,ca. 6km oberhalb,Wehr bei St. Jodok,38,6,4 - 5,5,,1,1,cm,4
39,Ö,Venter Ache,unterhalb Vent,Bauernhof "Lehen",39,8,4 - 5,5,,1,1,cm,4
